preset,activation_threshold,gate_temperature,target_activation_rate,refractory,precision,recall,f1,estimated_energy_savings_pct,activation_rate,threshold_final,total_inputs,activations,tp,fp,fn,tn,fp_rate
ecg_v1,0.55,0.15,0.1,0.0,0.16373098478783027,0.07937124005433728,0.10691412887204288,90.3432,,,50000.0,2498.0,409.0,2089.0,4744.0,42758.0,0.0465806
ecg_v1,0.6,0.15,0.1,0.0,0.16373098478783027,0.07937124005433728,0.10691412887204288,90.3432,,,50000.0,2498.0,409.0,2089.0,4744.0,42758.0,0.0465806
ecg_v1,0.65,0.15,0.1,0.0,0.16373098478783027,0.07937124005433728,0.10691412887204288,90.3433,,,50000.0,2498.0,409.0,2089.0,4744.0,42758.0,0.0465806
ecg_v1,0.55,0.15,0.15,0.0,0.15934706568208318,0.07956530176596158,0.10613512813875227,90.1844,,,50000.0,2573.0,410.0,2163.0,4743.0,42684.0,0.0482307
ecg_v1,0.6,0.15,0.15,0.0,0.15934706568208318,0.07956530176596158,0.10613512813875227,90.1844,,,50000.0,2573.0,410.0,2163.0,4743.0,42684.0,0.0482307
ecg_v1,0.7,0.15,0.1,0.0,0.16253002401921537,0.07878905491946439,0.10612991765782251,90.3454,,,50000.0,2498.0,406.0,2092.0,4747.0,42755.0,0.0466475
ecg_v1,0.65,0.15,0.15,0.0,0.15895841430237076,0.07937124005433728,0.10587626197256018,90.1857,,,50000.0,2573.0,409.0,2164.0,4744.0,42683.0,0.0482529
ecg_v1,0.7,0.15,0.15,0.0,0.15895841430237076,0.07937124005433728,0.10587626197256018,90.1857,,,50000.0,2573.0,409.0,2164.0,4744.0,42683.0,0.0482529
ecg_v1,0.7,0.15,0.12,0.0,0.15979381443298968,0.0782068697845915,0.10501628664495113,90.3002,,,50000.0,2522.0,403.0,2119.0,4750.0,42728.0,0.0472495
ecg_v1,0.55,0.15,0.12,0.0,0.15939730372720062,0.0780128080729672,0.1047557003257329,90.2999,,,50000.0,2522.0,402.0,2120.0,4751.0,42727.0,0.0472718
ecg_v1,0.6,0.15,0.12,0.0,0.15939730372720062,0.0780128080729672,0.1047557003257329,90.2999,,,50000.0,2522.0,402.0,2120.0,4751.0,42727.0,0.0472718
ecg_v1,0.65,0.15,0.12,0.0,0.15939730372720062,0.0780128080729672,0.1047557003257329,90.3003,,,50000.0,2522.0,402.0,2120.0,4751.0,42727.0,0.0472718
ecg_v1,0.55,0.05,0.15,0.0,0.1686481726111845,0.07432563555210557,0.10317887931034485,90.7959,,,50000.0,2271.0,383.0,1888.0,4770.0,42959.0,0.0420987
ecg_v1,0.6,0.05,0.15,0.0,0.1686481726111845,0.07432563555210557,0.10317887931034485,90.7959,,,50000.0,2271.0,383.0,1888.0,4770.0,42959.0,0.0420987
ecg_v1,0.65,0.05,0.15,0.0,0.1686481726111845,0.07432563555210557,0.10317887931034485,90.7959,,,50000.0,2271.0,383.0,1888.0,4770.0,42959.0,0.0420987
ecg_v1,0.7,0.05,0.15,0.0,0.1686481726111845,0.07432563555210557,0.10317887931034485,90.7956,,,50000.0,2271.0,383.0,1888.0,4770.0,42959.0,0.0420987
ecg_v1,0.55,0.05,0.12,0.0,0.1678289167828917,0.07005627789637105,0.09884994523548742,91.0744,,,50000.0,2151.0,361.0,1790.0,4792.0,43057.0,0.0399135
ecg_v1,0.6,0.05,0.12,0.0,0.1678289167828917,0.07005627789637105,0.09884994523548742,91.0744,,,50000.0,2151.0,361.0,1790.0,4792.0,43057.0,0.0399135
ecg_v1,0.65,0.05,0.12,0.0,0.1678289167828917,0.07005627789637105,0.09884994523548742,91.0747,,,50000.0,2151.0,361.0,1790.0,4792.0,43057.0,0.0399135
ecg_v1,0.7,0.05,0.12,0.0,0.1678289167828917,0.07005627789637105,0.09884994523548742,91.0747,,,50000.0,2151.0,361.0,1790.0,4792.0,43057.0,0.0399135
