[sundew] Sundew Algorithm — Demo
============================================================
Initial threshold: 0.780 | Energy: 100.0

01. environmental   [ok] processed  (sig=0.220, 0.002s, dE~9.5)         | energy   90.5 | thr 0.784
02. emergency       [idle] dormant  | energy   91.1 | thr 0.787
03. emergency       [ok] processed  (sig=0.783, 0.003s, dE~11.7)        | energy   79.3 | thr 0.797
04. system_alert    [idle] dormant  | energy   81.3 | thr 0.806
05. security        [idle] dormant  | energy   83.6 | thr 0.814
06. health_monitor  [idle] dormant  | energy   84.9 | thr 0.821
07. health_monitor  [ok] processed  (sig=0.710, 0.003s, dE~11.4)        | energy   73.5 | thr 0.834
08. system_alert    [idle] dormant  | energy   75.0 | thr 0.846
09. health_monitor  [idle] dormant  | energy   75.9 | thr 0.858
10. health_monitor  [idle] dormant  | energy   77.5 | thr 0.868
11. system_alert    [idle] dormant  | energy   79.2 | thr 0.878
12. health_monitor  [idle] dormant  | energy   79.7 | thr 0.887
13. emergency       [idle] dormant  | energy   81.6 | thr 0.895
14. emergency       [idle] dormant  | energy   82.4 | thr 0.902
15. environmental   [idle] dormant  | energy   83.6 | thr 0.908
16. emergency       [ok] processed  (sig=0.784, 0.003s, dE~11.7)        | energy   71.8 | thr 0.920
17. system_alert    [idle] dormant  | energy   74.0 | thr 0.920
18. emergency       [idle] dormant  | energy   76.1 | thr 0.920
19. security        [idle] dormant  | energy   77.7 | thr 0.920
20. security        [idle] dormant  | energy   79.0 | thr 0.920
21. system_alert    [idle] dormant  | energy   81.1 | thr 0.920
22. environmental   [idle] dormant  | energy   83.4 | thr 0.920
23. environmental   [idle] dormant  | energy   85.3 | thr 0.920
24. health_monitor  [idle] dormant  | energy   86.2 | thr 0.920
25. health_monitor  [idle] dormant  | energy   86.9 | thr 0.920
26. security        [idle] dormant  | energy   87.6 | thr 0.920
27. health_monitor  [idle] dormant  | energy   89.4 | thr 0.920
28. health_monitor  [idle] dormant  | energy   90.6 | thr 0.920
29. system_alert    [idle] dormant  | energy   91.6 | thr 0.920
30. system_alert    [idle] dormant  | energy   93.4 | thr 0.920
31. security        [idle] dormant  | energy   94.3 | thr 0.919
32. system_alert    [idle] dormant  | energy   95.1 | thr 0.919
33. environmental   [idle] dormant  | energy   97.6 | thr 0.917
34. emergency       [idle] dormant  | energy   99.2 | thr 0.914
35. environmental   [idle] dormant  | energy  100.0 | thr 0.911
36. security        [idle] dormant  | energy  100.0 | thr 0.908
37. security        [idle] dormant  | energy  100.0 | thr 0.905
38. system_alert    [idle] dormant  | energy  100.0 | thr 0.903
39. environmental   [idle] dormant  | energy  100.0 | thr 0.900
40. security        [idle] dormant  | energy  100.0 | thr 0.897
41. security        [idle] dormant  | energy  100.0 | thr 0.894
42. environmental   [idle] dormant  | energy  100.0 | thr 0.891
43. security        [idle] dormant  | energy  100.0 | thr 0.888
44. environmental   [idle] dormant  | energy  100.0 | thr 0.885
45. system_alert    [idle] dormant  | energy  100.0 | thr 0.882
